Time_s,Mission_Mode,Target_Type,Angular_Rate_deg_s,Omega_X_deg_s,Omega_Y_deg_s,Omega_Z_deg_s,Wheel_Speed_RPM,Magnetic_Dipole_Am2,Temperature_C,Power_W,Attitude_Error_deg,Pointing_Error_deg,Star_Tracker_OK,Eclipse,Control_Torque_Nm
0.1,Detumbling,Inertial,19.6149,7.0658,-11.3085,14.3853,0,3.4641,20,6.22,120.971,0,1,0,0
0.2,Detumbling,Inertial,19.6404,7.25437,-11.1531,14.4474,0,3.4641,20,6.22,121.662,0,1,0,0
0.3,Detumbling,Inertial,19.6663,7.44111,-10.9929,14.5103,0,3.4641,20,6.22,122.393,0,1,0,0
0.4,Detumbling,Inertial,19.6926,7.62593,-10.828,14.5739,0,3.4641,20,6.22,123.165,0,1,0,0
0.5,Detumbling,Inertial,19.7191,7.80873,-10.6582,14.6379,0,3.4641,20,6.22,123.976,0,1,0,0
0.6,Detumbling,Inertial,19.7459,7.9894,-10.4837,14.7025,0,3.4641,20,6.22,124.827,0,1,0,0
0.7,Detumbling,Inertial,19.7729,8.16785,-10.3044,14.7674,0,3.4641,20,6.22,125.717,0,1,0,0
0.8,Detumbling,Inertial,19.8002,8.34397,-10.1204,14.8325,0,3.4641,20,6.22,126.644,0,1,0,0
0.9,Detumbling,Inertial,19.8276,8.51765,-9.93157,14.8978,0,3.4641,20,6.22,127.609,0,1,0,0
1,Detumbling,Inertial,19.855,8.68878,-9.73807,14.9632,0,3.4641,20,6.22,128.611,0,1,0,0
1.1,Detumbling,Inertial,19.8826,8.85725,-9.53988,15.0285,0,3.4641,20,6.22,129.649,0,1,0,0
6.18,Detumbling,Inertial,20.3664,11.5516,4.40511,16.1847,0,3.4641,20,5.87,152.448,0,1,0,0
31.18,Detumbling,Inertial,19.0997,4.87856,-12.4842,13.6068,0,3.4641,19.9999,5.52,149.092,0,1,0,0
56.18,Detumbling,Inertial,19.532,-9.44798,-7.98782,15.1139,0,3.4641,19.9999,5.52,136.659,0,1,0,0
81.18,Detumbling,Inertial,18.9815,-7.16779,10.3611,14.1974,0,3.4641,19.9998,5.52,174.581,0,1,0,0
106.18,Detumbling,Inertial,18.7982,7.71326,9.36784,14.3569,0,3.4641,19.9998,5.52,158.462,0,1,0,0
131.18,Detumbling,Inertial,18.6364,7.67051,-9.46948,14.1,0,3.4641,19.9997,5.52,170.44,0,1,0,0
156.18,Detumbling,Inertial,18.3358,-7.56644,-9.04112,14.0431,0,3.4641,19.9997,5.52,154.096,0,1,0,0
181.18,Detumbling,Inertial,17.9357,-6.2248,10.1593,13.4063,0,3.4641,19.9996,5.52,138.443,0,1,0,0
206.18,Detumbling,Inertial,18.0941,8.9849,6.38718,14.3482,0,3.4641,19.9996,5.52,133.638,0,1,0,0
231.18,Detumbling,Inertial,17.0029,2.58157,-11.4498,12.3019,0,3.4641,19.9995,5.52,119.894,0,1,0,0
256.18,Detumbling,Inertial,17.8566,-10.3109,-0.243826,14.5768,0,3.4641,19.9995,5.52,165.134,0,1,0,0
281.18,Detumbling,Inertial,16.3533,2.91471,10.5761,12.1277,0,3.4641,19.9994,5.52,155.332,0,1,0,0
