Time_s,Mission_Mode,Angular_Rate_deg_s,Wheel_Speed_RPM,Magnetic_Dipole_Am2,Temperature_C,Power_W,Attitude_Error_deg,Star_Tracker_OK,Eclipse
0.1,Detumbling,19.6149,0,3.4641,20,6.22,120.971,1,0
0.2,Detumbling,19.6405,0,3.4641,20,6.22,121.662,1,0
0.3,Detumbling,19.6664,0,3.4641,20,6.22,122.393,1,0
10.38,Detumbling,19.1359,0,3.4641,20,5.87,114.312,1,0
60.38,Detumbling,18.1571,0,3.4641,19.9998,5.52,123.309,1,0
110.38,Detumbling,17.3747,0,3.4641,19.9996,5.52,136.782,1,0
160.38,Detumbling,16.8192,0,3.4641,19.9994,5.52,154.094,1,0
210.38,Detumbling,16.4718,0,3.4641,19.9992,5.52,123.368,1,0
260.38,Detumbling,16.2417,0,3.4641,19.999,5.52,138.397,1,0
310.38,Detumbling,15.1024,0,3.4641,19.9988,5.52,116.673,1,0
360.38,Detumbling,14.072,0,3.4641,19.9986,5.52,127.657,1,0
410.38,Detumbling,13.5304,0,3.4641,19.9984,5.52,136.742,1,0
460.38,Detumbling,12.618,0,3.4641,19.9981,5.52,169.812,1,0
510.38,Detumbling,11.4339,0,3.4641,19.9979,5.52,121.462,1,0
560.38,Detumbling,10.8678,0,3.4641,19.9977,5.52,168.085,1,0
610.38,Detumbling,9.83372,0,3.4641,19.9975,5.52,118.279,1,0
660.38,Detumbling,8.95658,0,3.4641,19.9973,5.52,135.804,1,0
710.38,Detumbling,8.26621,0,3.4641,19.9971,5.52,164.521,1,0
760.38,Detumbling,7.36649,0,3.4641,19.9969,5.52,170.199,1,0
810.38,Detumbling,6.49593,0,3.4641,19.9967,5.52,174.652,1,0
860.38,Detumbling,5.71388,0,3.4641,19.9965,5.52,140.014,1,0
910.38,Detumbling,5.05428,0,3.4641,19.9963,5.52,122.475,1,0
960.38,Detumbling,4.60824,0.844226,0,19.996,5.52,139.181,1,0
1010.38,Detumbling,4.2114,1.67962,0,19.9958,5.52,156.061,1,0
1060.38,Detumbling,3.84973,2.46918,0,19.9956,5.52,120.044,1,0
1110.38,Detumbling,3.54056,3.19521,0,19.9954,5.52,166.176,1,0
1160.38,Detumbling,3.27202,3.86125,0,19.9952,5.52,124.569,1,0
1210.38,Detumbling,3.00013,4.47988,0,19.995,5.52,134.895,1,0
1260.38,Detumbling,2.75741,5.05026,0,19.9948,5.52,140.138,1,0
1310.38,Detumbling,2.54305,5.57348,0,19.9946,5.52,118.663,1,0
1360.38,Detumbling,2.33397,6.05935,0,19.9943,5.52,154.142,1,0
1410.38,Detumbling,1.75604,6.82941,2.85329,19.9941,5.52,145.472,1,0
1460.38,Detumbling,0.466303,7.68165,2.43005,19.9939,5.52,121.248,1,0
1510.38,Detumbling,0.476597,6.98724,2.98153,19.9937,5.52,95.5448,1,0
1560.38,Detumbling,0.572211,6.94403,2.83341,19.9935,5.52,66.7969,1,0
1610.38,Detumbling,0.687026,7.15352,1.51032,19.9933,5.52,49.5568,1,0
1660.38,Detumbling,0.815112,7.0885,2.65797,19.9931,5.52,40.4137,1,0
1710.38,Detumbling,0.211121,6.86638,2.46139,19.9929,5.52,30.4665,1,0
1760.38,Detumbling,1.17651,6.71956,3.32943,19.9928,5.52,31.1773,1,0
1795.38,Detumbling,0.141291,5.58362,0.49909,19.9927,5.52,31.4466,1,0
1820.38,Detumbling,0.247693,4.86709,1.0974,19.9927,5.52,31.4205,1,0
1845.38,Detumbling,0.172341,4.40594,2.90698,19.9926,5.52,31.5982,1,0
1870.38,Detumbling,0.0633538,3.76228,1.72557,19.9926,5.52,32.2674,1,0
1895.38,Detumbling,0.0774735,3.01742,0.997957,19.9925,5.52,33.0368,1,0
1920.38,Detumbling,0.174193,1.85332,1.10732,19.9925,5.52,33.5858,1,0
1945.38,Detumbling,0.211162,1.48732,2.2122,19.9925,5.52,34.5574,1,0
1970.38,Detumbling,0.270392,1.1242,0.652476,19.9924,5.52,34.9751,1,0
1995.38,Detumbling,0.135114,0.614993,2.14944,19.9924,5.52,36.0856,1,0
2020.38,Detumbling,0.147427,1.38382,2.06303,19.9923,5.52,37.5267,1,0
2045.38,Detumbling,0.110253,1.88024,1.68999,19.9923,5.52,38.4716,1,0
2070.38,Detumbling,0.27558,2.67182,2.62857,19.9922,5.52,39.8582,1,0
2095.38,Detumbling,0.154501,3.43073,1.0525,19.9922,5.52,39.4906,1,0
