Time_min,Omega_degps,Phase,Control_Type,B_x_body_uT,B_y_body_uT,B_z_body_uT,B_mag_uT,omega_x_degps,omega_y_degps,omega_z_degps,omega_par_degps,omega_perp_degps,m_cmd_x_Am2,m_cmd_y_Am2,m_cmd_z_Am2,tau_mag_x_uNm,tau_mag_y_uNm,tau_mag_z_uNm,wheel_speed_x_RPM,wheel_speed_y_RPM,wheel_speed_z_RPM,wheel_torque_cmd_x_uNm,wheel_torque_cmd_y_uNm,wheel_torque_cmd_z_uNm,Anti_Align_Active,Anti_Align_Time_Remaining,Nadir_Error_deg,Torque_Environment_uNm
0.000000,12.000000,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,9.170496,-0.397610,-1.494625,9.300000,5.156688,10.743522,-1.409006,4.851999,10.975341,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,80.751754,0.076702
0.001667,12.002996,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,9.198227,-0.386317,-1.316580,9.300000,5.174721,10.732419,-1.452371,4.877881,10.967142,0.000000,0.000000,-2.500000,-0.965794,-22.995568,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,81.851089,0.068113
0.168333,12.754440,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,-0.538804,8.334567,4.097993,9.303164,9.025773,6.501855,-6.239957,2.553510,12.496213,2.500000,0.000000,2.500000,-20.836416,-11.591991,20.836416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,63.432827,0.065651
0.170000,12.765495,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,-0.677732,8.392142,3.957607,9.303227,9.071305,6.416232,-6.285003,2.453391,12.527519,2.500000,0.000000,2.500000,-20.980356,-11.588347,20.980356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,64.376746,0.065426
0.333333,12.824442,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,-7.710364,-3.255883,-4.082921,9.312396,9.705008,-4.618645,-6.996231,-3.353199,12.378303,0.000000,2.500000,-2.500000,-18.347011,19.275909,19.275909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,62.896392,0.201081
0.335000,12.811395,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,-7.701937,-3.420216,-3.962995,9.312521,9.665044,-4.719456,-6.960280,-3.298188,12.379571,0.000000,2.500000,-2.500000,-18.458028,19.254842,19.254842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,63.684370,0.198787
0.500000,11.678234,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,3.097234,-3.836734,7.918051,9.327857,5.334715,-10.094226,-2.455317,3.839081,11.029171,-2.500000,0.000000,0.000000,0.000000,19.795128,9.591836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,30.639326,0.135577
0.501667,11.672419,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,3.255301,-3.749750,7.896504,9.328043,5.305841,-10.112905,-2.412998,3.874202,11.010718,-2.500000,0.000000,0.000000,0.000000,19.741260,9.374375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,30.778093,0.141320
0.666667,11.498674,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,7.598934,-1.479828,-5.241977,9.349439,4.726578,-10.394287,1.355641,4.726751,10.482239,0.000000,0.000000,2.500000,3.699569,18.997334,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,59.811752,0.208512
0.668333,11.500790,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,7.497828,-1.543059,-5.368255,9.349685,4.743692,-10.383739,1.394098,4.717403,10.488769,2.500000,0.000000,2.500000,3.857647,32.165208,-3.857647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,58.862527,0.212163
0.833333,12.143331,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,-5.899938,-7.227131,-0.942810,9.377078,8.231796,-6.878243,5.691027,-0.450319,12.134978,0.000000,0.000000,-2.500000,-18.067829,14.749845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,80.713277,0.153948
0.835000,12.153877,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,-5.983390,-7.179675,-0.765937,9.377385,8.275990,-6.806790,5.735184,-0.537541,12.141984,0.000000,0.000000,-2.500000,-17.949187,14.958474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,81.789154,0.154282
1.000000,12.415589,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,-4.922136,7.795005,1.889878,9.410694,9.629301,3.306944,7.105458,-0.870354,12.385045,0.000000,0.000000,2.500000,-19.487513,-12.305339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,75.258185,0.163563
1.001667,12.405688,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,-4.833833,7.887495,1.729027,9.411060,9.599519,3.408943,7.080214,-0.772768,12.381596,0.000000,0.000000,2.500000,-19.718737,-12.084582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,76.225319,0.161078
1.166667,11.281091,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,7.571958,2.731849,-4.950613,9.450192,5.461002,9.381400,3.070796,5.478908,9.861266,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,52.896451,0.223005
1.168333,11.274833,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,7.668454,2.644252,-4.849422,9.450616,5.427359,9.406370,3.030817,5.480548,9.853196,0.000000,0.000000,-2.500000,6.610630,-19.171134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,53.524260,0.222774
1.335000,10.964341,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,3.809495,2.180713,8.420518,9.495940,4.011549,10.196083,-0.405133,3.591564,10.359413,2.500000,0.000000,0.000000,0.000000,-21.051295,5.451783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,34.521743,0.210462
1.336667,10.964260,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,3.655517,2.243716,8.472601,9.496422,4.016590,10.192697,-0.436954,3.564510,10.368667,2.500000,0.000000,0.000000,0.000000,-21.181503,5.609289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,33.723565,0.206746
1.501667,11.268432,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,-8.154084,4.835574,-1.127648,9.546908,6.272512,8.459822,-4.008063,-0.599022,11.252499,0.000000,0.000000,2.500000,-12.088934,-20.385211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,88.933397,0.150707
1.503333,11.275787,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,-8.170505,4.764299,-1.303086,9.547446,6.311293,8.420916,-4.049585,-0.646218,11.257254,0.000000,0.000000,2.500000,-11.910746,-20.426262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,89.992250,0.149835
1.668333,11.995530,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,-0.569982,-8.710400,-4.003620,9.603381,9.542184,1.035677,-7.194916,1.493816,11.902153,-2.500000,0.000000,-2.500000,-21.775999,-8.584097,21.775999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,61.194633,0.100541
1.670000,11.996026,MAG_DETUMBLE,BANG_BANG_MAGNETORQUER,-0.450912,-8.783206,-3.858531,9.603973,9.548461,0.932072,-7.201582,1.592615,11.889837,-2.500000,0.000000,-2.500000,-21.958015,-8.519047,21.958015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,62.097351,0.096427
