Time_s,Phase,Omega_degps,Attitude_Error_deg,B_Field_nT,Total_Control_Torque_uNm,Mag_Torque_uNm,Wheel_Torque_uNm,Env_Torque_nNm,Wheel_Speed_rps,Mag_Dipole_Am2,Altitude_km,Energy_J
0.0000,DETUMBLE,19.6147,120.9711,9300.0000,37.6390,37.6390,0.0000,114.5426,0.0000,4.3301,400.0000,0.0091
10.0000,DETUMBLE,19.3442,115.3164,9312.0419,33.9492,33.9492,0.0000,19.0275,0.0000,4.3301,400.0000,0.0090
20.0000,DETUMBLE,20.3805,159.1140,9348.0498,40.4409,40.4409,0.0000,79.6337,0.0000,4.3301,400.0000,0.0090
30.0000,DETUMBLE,18.9362,160.6018,9407.6754,36.9179,36.9179,0.0000,39.6807,0.0000,4.3301,400.0000,0.0089
40.0000,DETUMBLE,19.5121,157.4522,9490.3529,33.4323,33.4323,0.0000,100.1438,0.0000,4.3301,400.0000,0.0088
50.0000,DETUMBLE,19.5350,136.6459,9595.3199,41.4825,41.4825,0.0000,111.1105,0.0000,4.3301,400.0000,0.0087
60.0000,DETUMBLE,18.5532,121.1858,9721.6441,38.6117,38.6117,0.0000,17.3110,0.0000,4.3301,400.0000,0.0086
70.0000,DETUMBLE,19.7105,130.5797,9868.2531,42.0841,42.0841,0.0000,116.9698,0.0000,4.3301,400.0000,0.0085
80.0000,DETUMBLE,18.5825,164.7266,10033.9668,38.3240,38.3240,0.0000,77.3489,0.0000,4.3301,400.0000,0.0084
90.0000,DETUMBLE,18.5998,174.6766,10217.5283,40.0085,40.0085,0.0000,80.4413,0.0000,4.3301,400.0000,0.0083
100.0000,DETUMBLE,19.0687,117.6082,10417.6334,44.5928,44.5928,0.0000,71.3157,0.0000,4.3301,400.0000,0.0081
110.0000,DETUMBLE,17.8603,126.3845,10632.9566,42.6851,42.6851,0.0000,149.5145,0.0000,4.3301,400.0000,0.0080
120.0000,DETUMBLE,18.8794,137.2960,10862.1742,46.5841,46.5841,0.0000,223.7787,0.0000,4.3301,400.0000,0.0079
130.0000,DETUMBLE,17.9195,169.3935,11103.9822,47.9578,47.9578,0.0000,187.3516,0.0000,4.3301,400.0000,0.0078
140.0000,DETUMBLE,17.8678,123.6095,11357.1109,45.9514,45.9514,0.0000,183.6009,0.0000,4.3301,400.0000,0.0077
150.0000,DETUMBLE,18.2197,165.7602,11620.3361,49.1247,49.1247,0.0000,180.4835,0.0000,4.3301,400.0000,0.0075
160.0000,DETUMBLE,17.1188,133.4698,11892.4867,46.3181,46.3181,0.0000,182.5719,0.0000,4.3301,400.0000,0.0074
170.0000,DETUMBLE,18.0150,165.5893,12172.4494,51.4128,51.4128,0.0000,223.1836,0.0000,4.3301,400.0000,0.0073
180.0000,DETUMBLE,16.8950,121.9929,12459.1715,52.8773,52.8773,0.0000,178.8925,0.0000,4.3301,400.0000,0.0071
190.0000,DETUMBLE,17.3000,139.1818,12751.6620,55.1843,55.1843,0.0000,30.7362,0.0000,4.3301,400.0000,0.0070
200.0000,DETUMBLE,16.9466,154.6533,13048.9909,51.4848,51.4848,0.0000,75.9533,0.0000,4.3301,400.0000,0.0069
210.0000,DETUMBLE,16.4692,142.4215,13350.2879,52.9804,52.9804,0.0000,107.0828,0.0000,4.3301,400.0000,0.0067
220.0000,DETUMBLE,16.9083,156.6270,13654.7405,55.8631,55.8631,0.0000,119.8490,0.0000,4.3301,400.0000,0.0066
230.0000,DETUMBLE,15.8658,126.4847,13961.5908,55.2910,55.2910,0.0000,227.7735,0.0000,4.3301,400.0000,0.0064
240.0000,DETUMBLE,16.5720,166.5569,14270.1335,56.0551,56.0551,0.0000,246.6860,0.0000,4.3301,400.0000,0.0063
250.0000,DETUMBLE,15.4665,119.0097,14579.7123,61.4236,61.4236,0.0000,158.5276,0.0000,4.3301,400.0000,0.0061
260.0000,DETUMBLE,16.0606,143.5994,14889.7173,59.9242,59.9242,0.0000,94.0170,0.0000,4.3301,400.0000,0.0060
270.0000,DETUMBLE,15.1381,175.6550,15199.5817,58.8388,58.8388,0.0000,120.3087,0.0000,4.3301,400.0000,0.0058
280.0000,DETUMBLE,15.4571,117.8328,15508.7793,64.0870,64.0870,0.0000,185.0727,0.0000,4.3301,400.0000,0.0057
290.0000,DETUMBLE,14.8095,164.4886,15816.8218,61.6869,61.6869,0.0000,171.3160,0.0000,4.3301,400.0000,0.0055
300.0000,DETUMBLE,14.8458,147.6231,16123.2561,69.5639,69.5639,0.0000,152.4428,0.0000,4.3301,400.0000,0.0053
310.0000,DETUMBLE,14.4166,118.2599,16427.6619,69.0444,69.0444,0.0000,22.9335,0.0000,4.3301,400.0000,0.0052
320.0000,DETUMBLE,14.3214,146.4913,16729.6499,72.3069,72.3069,0.0000,216.9415,0.0000,4.3301,400.0000,0.0050
330.0000,DETUMBLE,13.9603,128.8703,17028.8594,62.9529,62.9529,0.0000,233.9329,0.0000,4.3301,400.0000,0.0049
340.0000,DETUMBLE,13.8018,141.2505,17324.9567,75.0186,75.0186,0.0000,69.8700,0.0000,4.3301,400.0000,0.0047
350.0000,DETUMBLE,13.4357,164.9825,17617.6331,76.1902,76.1902,0.0000,141.6565,0.0000,4.3301,400.0000,0.0046
360.0000,DETUMBLE,13.3642,118.0175,17906.6036,72.0177,72.0177,0.0000,182.1821,0.0000,4.3301,400.0000,0.0044
370.0000,DETUMBLE,12.8758,179.0703,18191.6056,78.7719,78.7719,0.0000,143.2310,0.0000,4.3301,400.0000,0.0043
380.0000,DETUMBLE,12.9312,158.8118,18472.3972,67.4474,67.4474,0.0000,67.3474,0.0000,3.7240,400.0000,0.0041
390.0000,DETUMBLE,12.2960,119.3363,18748.7563,79.1465,79.1465,0.0000,206.1145,0.0000,4.3301,400.0000,0.0040
400.0000,DETUMBLE,12.4210,160.3084,19020.4794,79.5069,79.5069,0.0000,202.8506,0.0000,4.3301,400.0000,0.0038
