Time,Phase,AngVel_Mag,Attitude_Error,Control_Torque_Mag,Quat_W,Quat_X,Quat_Y,Quat_Z
0,DETUMBLING,11.6334,0,1040.43,0.818503,0.357849,0.396913,0.210848
10,DETUMBLING,6.93204,0,619.65,0.335634,0.836487,0.137774,0.41068
20,DETUMBLING,4.70877,0,417.567,-0.0224992,0.760946,-0.0801628,0.643451
30,DETUMBLING,3.49402,0,309.377,-0.197233,0.569887,-0.298081,0.739916
40,DETUMBLING,2.60747,0,230.921,-0.299367,0.395514,-0.467023,0.732009
50,DETUMBLING,1.94173,0,171.957,-0.371191,0.257437,-0.576046,0.681259
60,DETUMBLING,1.45033,0,128.41,-0.424574,0.151314,-0.639421,0.622882
70,DETUMBLING,1.08835,0,96.3405,-0.464157,0.0702405,-0.673944,0.57046
80,DETUMBLING,0.81969,0,72.5482,-0.49323,0.00847306,-0.691739,0.527398
90,DETUMBLING,0.618548,0,54.7425,-0.514512,-0.0384391,-0.700275,0.49337
100,DETUMBLING,0.466982,0,41.3289,-0.530135,-0.0739482,-0.703855,0.466987
110,DETUMBLING,0.352298,0,31.1811,-0.541676,-0.100735,-0.704877,0.446751
120,STABILIZATION,0.261646,0,195.962,-0.550199,-0.120904,-0.704688,0.431368
130,STABILIZATION,0.840503,0,215.102,-0.525888,-0.149698,-0.717527,0.431494
140,STABILIZATION,1.81158,0,251.967,-0.433666,-0.201098,-0.747957,0.460492
150,STABILIZATION,3.10932,0,311.901,-0.246993,-0.270692,-0.766503,0.52744
160,STABILIZATION,4.53083,0,235.868,0.0662556,-0.314651,-0.699683,0.638004
170,STABILIZATION,4.02861,0,197.073,0.361671,-0.235901,-0.522475,0.735231
180,STABILIZATION,4.00205,0,188.616,0.532165,-0.03791,-0.307228,0.788019
190,STABILIZATION,4.66405,0,220.939,0.55988,0.247053,-0.0750767,0.787313
200,STABILIZATION,6.33473,0,308.306,0.387669,0.573632,0.193113,0.695246
210,STABILIZATION,8.75669,0,195.008,-0.103293,0.762855,0.478336,0.422585
220,STABILIZATION,8.39347,0,110.292,-0.65171,0.530531,0.541842,0.0147439
230,STABILIZATION,9.10836,0,173.162,-0.895001,-0.0207508,0.298463,-0.330851
240,STABILIZATION,11.392,0,354.408,-0.599501,-0.65708,-0.177204,-0.42124
250,STABILIZATION,14.2316,0,158.143,0.315721,-0.775563,-0.546458,0.0143454
260,STABILIZATION,15.7327,0,327.05,0.750408,0.107257,-0.214254,0.616019
270,STABILIZATION,19.4613,0,201.597,-0.176852,0.705512,0.58156,0.36437
280,STABILIZATION,22.1235,0,472.482,-0.692386,-0.430486,0.269641,-0.512422
290,STABILIZATION,26.2449,0,365.291,0.762948,-0.429199,-0.469453,0.115385
300,NADIR_POINTING,31.4231,0,496.626,-0.293771,0.740325,0.576882,0.181176
310,NADIR_POINTING,36.4238,0,603.708,0.250802,-0.764613,-0.445397,-0.392539
320,NADIR_POINTING,42.4467,0,668.41,-0.442178,0.737868,0.493768,0.127368
330,NADIR_POINTING,49.3968,0,797.884,0.786642,-0.0789565,-0.54543,0.278328
340,NADIR_POINTING,57.8193,0,1090.01,-0.163783,-0.82733,-0.284744,-0.455655
350,NADIR_POINTING,67.5112,0,1153.6,-0.677258,-0.495059,0.22926,-0.493639
360,NADIR_POINTING,79.0167,0,1339.58,-0.595442,-0.533171,0.176797,-0.574387
370,NADIR_POINTING,92.6331,0,1561.9,0.267359,-0.7519,-0.48541,-0.357132
380,NADIR_POINTING,108.663,0,1890.83,0.23535,0.770737,0.147777,0.573356
390,NADIR_POINTING,127.518,0,2154.37,0.459146,-0.699206,-0.484472,-0.25609
400,NADIR_POINTING,149.713,0,2632.73,0.0353579,-0.824475,-0.358522,-0.43641
410,NADIR_POINTING,175.8,0,2976.81,0.841548,0.0840544,-0.420086,0.329029
420,NADIR_POINTING,206.526,0,3545.16,-0.440892,-0.717758,-0.0120181,-0.538788
430,NADIR_POINTING,242.722,0,4202.2,0.0967991,-0.81948,-0.362447,-0.43326
440,NADIR_POINTING,285.305,0,4883.62,-0.714177,0.428745,0.553068,-0.0156331
450,NADIR_POINTING,335.388,0,5751.69,-0.326236,-0.764932,-0.0850026,-0.548839
460,NADIR_POINTING,394.471,0,6765.39,-0.357781,-0.752227,-0.0604381,-0.549996
470,NADIR_POINTING,463.984,0,8071.16,-0.828252,0.0953126,0.500681,-0.23288
480,NADIR_POINTING,545.833,0,9375.46,0.50134,0.673497,-0.0498371,0.540903
490,NADIR_POINTING,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
500,NADIR_POINTING,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
510,NADIR_POINTING,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
520,NADIR_POINTING,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
530,NADIR_POINTING,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
540,NADIR_POINTING,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
550,NADIR_POINTING,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
560,NADIR_POINTING,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
570,NADIR_POINTING,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
580,NADIR_POINTING,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
590,NADIR_POINTING,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
